RA_deg,Dec_deg,Gaia_magnitude
258.758017,24.839587,3
134.803495,48.04235,3
254.655128,-55.990055,3
224.790413,-42.104142,3.01
140.264412,34.392526,3.02
142.805641,-57.034392,3.04
258.761893,36.809155,3.04
143.218022,51.678602,3.05
257.196771,65.714637,3.05
99.440299,-43.195924,3.05
281.413971,-26.990779,3.05
220.627854,-64.97457,3.06
76.628621,41.234641,3.06
254.417794,9.375056,3.07
267.46438,-37.043371,3.07
76.365217,-22.370857,3.07
72.458909,6.961247,3.07
354.837425,77.631967,3.09
318.23409,30.227081,3.09
230.343068,-40.647459,3.1
322.164896,70.560695,3.11
244.58017,-4.692608,3.11
275.328836,-2.897122,3.11
302.826103,-0.821476,3.12
102.048071,-61.94198,3.12
112.307826,-43.301891,3.13
211.592787,-26.682019,3.13
226.017758,-25.281856,3.13
284.735936,32.689553,3.13
9.831656,30.861226,3.15
260.502434,-24.999488,3.15
343.662664,-15.82076,3.15
78.232805,-16.205429,3.17
158.006182,-61.68536,3.18
68.498827,-55.045006,3.18
261.348583,-56.377688,3.19
93.71957,22.506824,3.19
16.521277,-46.71849,3.2
183.856038,57.032598,3.2
269.756657,-9.77335,3.2
46.293738,38.840533,3.2
286.735176,-27.669814,3.2
258.038233,-43.23849,3.2
168.56017,15.429763,3.21
117.323578,-24.859784,3.22
101.32264,12.896055,3.23
81.119238,-2.397138,3.23
28.598681,63.670147,3.23
127.566792,60.718431,3.23
291.373969,3.114579,3.24
230.670365,-44.689573,3.25
203.673978,-0.595938,3.26
131.694359,6.418907,3.26
83.78449,9.934163,3.27
154.270855,-61.33232,3.27
332.713591,58.20125,3.27
193.902014,3.397599,3.27
67.165312,15.870947,3.28
22.091424,-43.317729,3.29
207.376239,-41.68766,3.29
60.170086,12.490376,3.29
228.07168,-52.099075,3.29
340.365312,10.831391,3.29
311.239815,-66.203238,3.3
28.270416,29.579397,3.3
240.030585,-38.396641,3.3
266.615496,27.722499,3.3
286.562291,-4.882335,3.31
154.172518,23.417328,3.31
137.742105,-58.96693,3.31
154.274696,42.914469,3.33
228.875432,33.315102,3.34
17.146932,-10.181928,3.34
12.271253,57.816548,3.34
207.404199,-42.473685,3.35
40.825519,3.236172,3.35
151.833139,16.762666,3.36
250.723911,38.922461,3.36
26.021364,-15.939556,3.37
225.486638,40.390637,3.37
276.743459,-45.968329,3.37
169.619814,33.094239,3.37
105.429799,-27.934842,3.37
342.138321,-51.316704,3.37
342.420467,66.200711,3.38
102.460273,-32.508488,3.38
110.030789,21.982339,3.38
299.689115,19.492093,3.39
342.500418,24.601685,3.39
149.215645,-54.567797,3.4
145.287991,9.892399,3.4
55.812317,-9.765199,3.4
332.549249,6.197789,3.4
284.432416,-21.106624,3.4
282.519975,33.362678,3.4
124.128951,9.185663,3.41
67.153889,19.180521,3.41
237.405274,-3.430141,3.42
264.396772,-15.398408,3.42
173.251079,-31.857524,3.42
64.473411,-33.798331,3.43
214.85097,-46.058084,3.43
86.738957,-14.821947,3.43
275.259746,72.733698,3.43
302.174417,-66.179321,3.43
34.127085,-51.512111,3.44
169.835511,-14.779044,3.44
4.857013,-8.823829,3.44
253.083973,-38.017478,3.44
135.906495,47.156659,3.45
116.111952,24.398129,3.45
217.957741,30.371145,3.45
230.451819,-36.261167,3.45
109.523362,16.540475,3.46
304.51341,-12.544859,3.46
185.34088,-60.40137,3.47
79.401662,-6.844386,3.47
86.116562,-22.447487,3.47
177.672026,1.765377,3.47
24.497927,48.628486,3.47
